Título,Resumo,Ano,Link,DOI,Cat_Ancora,Ancoras_Identificadas,Score_Elite,Fonte
"Pagamentos Instantâneos, Pix e Unified Payments Interface (UPI): Um Estudo de Caso",,2022,https://doi.org/10.5151/vi-enei-830,10.5151/vi-enei-830,Pagamentos_Instantaneos_Varejo,"UPI, Pix",0.0,Crossref
Mobile Payments: Pix in Brazil and UPI in India,,2025,https://doi.org/10.1007/978-3-032-02819-8_6,10.1007/978-3-032-02819-8_6,Pagamentos_Instantaneos_Varejo,"UPI, Pix",0.0,Crossref
"A COMPARATIVE INSTITUTIONAL AND TECHNOLOGICAL ANALYSIS OF INDIA'S UNIFIED PAYMENTS INTERFACE (UPI) AND JAPAN'S PAYMENT ECOSYSTEM: Adoption Dynamics, Structural Constraints, and Cross-Border Future Potential","<jats:p>The global transition toward cashless economies presents a clear paradox: India, an emerging economy with persistent infrastructure deficits, achieved nearly universal digital payment penetration within a decade of launching its Unified Payments Interface (UPI), while Japanamong the world's most technologically advanced societies-continues to conduct over 60% of consumer transactions in cash. This paper offers a comparative institutional and technological analysis of UPI and Japan's multi-layered payment ecosystem, examining adoption patterns, systemic barriers, and potential for cross-border cooperation. Drawing upon a synthesis of peer-reviewed literature, official government policy documents from India's NPCI and Japan's METI, BIS payment statistics, and critical platform theory-including Steinberg's (2025) analysis of PayPay's ""cashless payment wars""-this study argues that UPI's success cannot be explained by technological superiority alone. Rather, it reflects the combination of three key factors: the institutional shock of demonetization in 2016, an open-architecture API framework that eliminated entry barriers for fintech innovation, and deliberate policy design that prioritized financial inclusion over protecting existing revenue models. Japan's continued reliance on cash, by contrast, reflects a structural condition in which deeply embedded payment habits, demographic aging, platform fragmentation, and what Steinberg terms the ""existing convenience of cash"" collectively resist voluntary cashless transition. Applying the Unified Theory of Acceptance and Use of Technology (UTAUT) as a behavioral analysis framework, this paper introduces the concept of Institutional Disruption Pressure (IDP)-an extended construct capturing whether the adoption environment includes external pressure that pushes adoption and remove behavioral fallbacks. The paper concludes with policy recommendations for India-Japan FinTech collaboration, including a proposed UPI-Zengin realtime interoperability corridor, and offers insights for Japan's Society 5.0 digital inclusion agenda.</jats:p>",N/A,https://doi.org/10.2139/ssrn.6619878,10.2139/ssrn.6619878,Pagamentos_Instantaneos_Varejo,UPI,1.5,Crossref
FedNow and Problems (Also Now): A Survey of Fraud Protection Measures in the Federal Reserve's Newest Instant Payments Service Through a Consumer Protection Lens,,2024,https://doi.org/10.2139/ssrn.4738428,10.2139/ssrn.4738428,Pagamentos_Instantaneos_Varejo,FedNow,0.0,Crossref
Digital payment ecosystems and financial inclusion: Comparative analysis of UPI in India and PIX in Brazil,"<jats:p>This article examines how digital payment systems, specifically India's Unified Payments Interface (UPI) and Brazil's PIX, contribute to financial inclusion in emerging markets. Through a mixed-methods approach combining transaction data analysis, user surveys, and stakeholder interviews, the article investigates how these real-time payment infrastructures compare to traditional banking systems in terms of accessibility, transaction costs, and user experience for underserved populations. The comparative analysis reveals distinct implementation strategies and adoption patterns while highlighting common success factors and challenges. Findings indicate that these digital payment ecosystems significantly reduce barriers to financial services, particularly for rural and lower-income segments, while stimulating micro-entrepreneurship and formal economic participation. This article provides valuable insights for policymakers and financial institutions seeking to leverage digital payment technologies to enhance financial inclusion and economic development in similar emerging market contexts.</jats:p>",2025,https://doi.org/10.30574/gjeta.2025.23.2.0148,10.30574/gjeta.2025.23.2.0148,Pagamentos_Instantaneos_Varejo,"UPI, Pix",0.0,Crossref
A Comparative Study on the FedACH and the FedNow as a Payments System,,2021,https://doi.org/10.15798/kaici.2021.23.2.21,10.15798/kaici.2021.23.2.21,Pagamentos_Instantaneos_Varejo,FedNow,0.0,Crossref
The role of UPI (Unified Payments Interface) in Financial Interoperability in India,"<jats:p>Unified Payments Interface (UPI) is a communication protocol interface that connects multiple banks accounts
to one mobile payment gateway. Interoperability of this interface –a feature which was enabled recently has made
these connection even more flexible, as this interface enabled with interoperability feature can connect to any
bank to a mobile payment gateway making payment seamless through a single unified QR code which is unique
to each retail merchant. Impacting the payment time and access to payment gateways.
The National Payments Corporation of India (NPCI) introduced UPI as a payment interface for the Indian market
during 2016 to enable instant digital fund transfers among customers banking systems and secured payment. A
total of 350 million active UPI users have been accounted who have generated payments for a value of 245 billion
dollars as per the NPCI report of 2025.
In this study the role of UPI's in financial interoperability and its advantages are explored by explaining the
essential capabilities and operational capabilities of UPI in India. NPCI UPI usage data shows that the retailmerchant users and end-users usage rate is at 81.8% of the all modes of payment. This study uses quantitative
research approach to study the usage rate of UPI. The study results shows that UPI is one of the popularly used
mode of digital payment proving that the digital empowerment alongside trustworthy infrastructure has increased
trust in the system.
Studying the NPCI transaction data and transaction data collected from 79 retail merchants shows that insights
of merchants getting the advantage of interoperability due which they can have a unified QR code and link of any nationalised or private bank accounts. Factors that influences more merchants to use the UPI mode of payment indicates interoperability as an advantage.</jats:p>",2025,https://doi.org/10.9790/487x-2707013947,10.9790/487x-2707013947,Pagamentos_Instantaneos_Varejo,UPI,1.5,Crossref
A Compartive Study of the customer preference and satisfaction towards google pay and other Upi payments apps,,2026,https://doi.org/10.56975/jaafr.v4i3.503938,10.56975/jaafr.v4i3.503938,Pagamentos_Instantaneos_Varejo,UPI,0.0,Crossref
Cybersecurity Challenges in Digital Payments: A UPI Fraud Case Study from India,,2025,https://doi.org/10.63680/ijsate1025030.024,10.63680/ijsate1025030.024,Pagamentos_Instantaneos_Varejo,UPI,0.0,Crossref
Unified Payments Interface (UPI): A Comprehensive Analysis of India's Digital Payment Revolution and Its Global Implications,"<jats:p>The Unified Payments Interface (UPI) represents a paradigm shift in digital payments, transforming India's financial landscape since its inception in 2016. This comprehensive study examines UPI's architecture, adoption patterns, and socioeconomic impact on the Indian economy. We analyze transaction volumes comparing UPI with global payment leaders, assess its transformative effect on low-income communities, and explore future trends in digital payments. Our research reveals that UPI has achieved unprecedented scale with over 18 billion monthly transactions worth 24 trillion, significantly outpacing traditional payment systems globally. The platform has democratized financial services, particularly benefiting underbanked populations through enhanced financial inclusion. We project continued exponential growth and discuss UPI's potential influence on global payment infrastructure development. This study provides insights into how innovative payment architectures can drive economic transformation and financial inclusion at a national scale.</jats:p>",N/A,https://doi.org/10.22541/au.175803379.95084591/v1,10.22541/au.175803379.95084591/v1,Pagamentos_Instantaneos_Varejo,UPI,0.0,Crossref
