Título,Resumo,Ano,Link,Fonte,Citações,DOI,Categoria_Ancora,Ancoras_Mencionadas,Categoria_Tecnica,Termos_Tecnicos,Score_Elite
Exploring coexistence in the securities industry: Why the ISO 20022 central dictionary is the key to interoperability and realising data opportunities,"<jats:p xml:lang=""en"">This paper looks at how the securities industry can better manage coexistence between different message formats along with realising the many opportunities presented by available data. This is with a view to arriving at greater efficiency, profitability and interoperability within securities and across financial services. It begins with an overview of the quantities and types of data produced by the industry, discussing the costs and risks this poses if it is not sufficiently well managed. It then moves into a discussion of the need for a common language for all parts of financial services, including securities, to agree on in order to communicate more effectively. The paper focuses on using the global ISO 20022 standard for this purpose. It covers the question of migrating to it as a message format, for which there is little appetite within the securities industry in the short to medium term. ISO 20022’s central repository and data dictionary provide a solution, creating the common language that can help to ensure interoperability between entities. It includes discussion of the many benefits of using ISO 20022 in this way, such as reduced costs, risks and timeframes. It highlights how ISO 20022 as a data model can be applied to developing standardised application programming interfaces and building connections with emerging technologies and industries such as distributed ledger technology and crypto assets. The paper also looks at the risks and limitations posed by a prolonged period of coexistence. The use of a common data dictionary can enable firms to interoperate without having to align data exchanges at the syntax level; however, there are still associated costs, risks and inefficiencies. The conclusion is that securities market participants should collaborate to adopt a common data dictionary that can be integrated into their systems, their software and their processes.</jats:p>",0,https://doi.org/10.69554/knvy4333,Crossref,0,10.69554/knvy4333,Liquidacao_Interbancaria,ISO 20022,Coringa_Comparativo,interoperability,7.5
"Next-Generation Payment Protocols: Architecting Secure, Scalable, and Real-Time Transaction Systems","<jats:p>The evolution of digital payment systems represents a critical transformation in global financial infrastructure, driven by increasing demands for faster, more secure, and scalable transaction processing. This comprehensive article examines the architecture, implementation, and future directions of next-generation payment protocols, focusing on three fundamental pillars: ISO 20022 messaging standards, Layer 2 scaling solutions, and real-time settlement networks. The article analyzes how these components work in concert to address current limitations in traditional payment systems while enabling new capabilities in cross-border transactions, micro-payments, and real-time settlement. Through examination of major implementations including RTP, FPS, and UPI, the article reveals key success factors in deploying modern payment infrastructure. The article encompasses performance optimization strategies, scalability approaches, and security considerations, providing insights into best practices for financial institutions undertaking payment system modernization. The article demonstrates how emerging technologies, including artificial intelligence, edge computing, and quantum-resistant cryptography, are shaping the future of payment protocols while addressing critical challenges in global financial operations.</jats:p>",0,https://doi.org/10.32628/cseit251112275,Crossref,0,10.32628/cseit251112275,Liquidacao_Interbancaria,ISO 20022,Desempenho_Operacional,scalability,7.0
Breakthrough Advancements in Real-time Payment Processing Optimization,"<jats:p>This article examines the transformative advancements in real-time payment processing optimization and their profound impact on digital commerce. It explores how millisecond-level processing improvements significantly enhance conversion rates in high-volume e-commerce environments. Key innovations discussed include intelligent predictive routing algorithms that leverage historical data to make real-time transaction routing decisions, the implementation of standardized interfaces like Payment Request API and ISO 20022, and privacy-preserving optimization techniques compliant with evolving regulatory frameworks. It further analyzes the substantial impact of these optimizations on e-commerce conversion rates, demonstrating how they reduce cart abandonment and improve customer trust and retention. Looking ahead, the article considers emerging technologies such as Central Bank Digital Currencies and distributed ledger systems that promise to further revolutionize payment processing with faster settlement times, lower costs, and expanded financial inclusion. The article findings suggest that payment processing optimization has evolved beyond technical consideration to become a strategic business imperative with measurable revenue impact and broader economic implications.</jats:p>",2025,https://doi.org/10.37745/ejcsit.2013/vol13n173947,Crossref,0,10.37745/ejcsit.2013/vol13n173947,Liquidacao_Interbancaria,ISO 20022,Desempenho_Operacional,,6.0
"TruChain: A Multi-Layer Architecture for Trusted, Verifiable, and Immutable Open Banking Data","Open banking framework enables third party providers to access financial data across banking institutions, leading to unprecedented innovations in the financial sector. However, some open banking standards remain susceptible to severe technological risks, including unverified data sources, inconsistent data integrity, and lack of immutability. In this paper, we propose a layered architecture that provides assurance in data trustworthiness with three distinct levels of trust, covering source validation, data-level authentication, and tamper-proof storage. The first layer guarantees the source legitimacy using decentralized identity and verifiable presentation, while the second layer verifies data authenticity and consistency using cryptographic signing. Lastly, the third layer guarantees data immutability through the Tangle, a directed acyclic graph distributed ledger. We implemented a proof-of-concept implementation of our solution to evaluate its performance, where the results demonstrate that the system scales linearly with a stable throughput, exhibits a 100% validation rate, and utilizes under 35% of CPU and 350 MiB memory. Compared to a real-world open banking implementation, our solution offers significantly reduced latency and stronger data integrity assurance. Overall, our solution offers a practical and efficient system for secure data sharing in financial ecosystems while maintaining regulatory compliance.",2025,http://arxiv.org/abs/2507.08286v1,ArXiv,0,,Open_Banking_e_Conectividade,Open Banking,Coringa_Comparativo,"architecture, framework",6.0
Secure API Gateway Strategies for Financial Institutions Using OAuth2 and Identity Federation,"<jats:p>Financial​‍​‌‍​‍‌​‍​‌‍​‍‌ institutions are confronted with numerous challenges in maintaining the security of their distributed API ecosystems, as their digital banking platforms continue to evolve on cloud-native microservices architectures. The security measures based on the traditional perimeter fail to provide solutions to issues that arise due to open banking mandates, partner integrations, and multi-channel customer engagement platforms. The existence of fragmented identity systems, static credential vulnerabilities, and overlapping regulatory compliance requirements unveils considerable security holes in the protection of sensitive financial data during API transactions. This paper offers a holistic security model that encompasses OAuth 2.0 authorization protocols, OpenID Connect identity layers, and federation mechanisms to achieve the unification of API gateway architectures. Token-based access control eliminates the use of static credentials with the help of time-limited authorization tokens that carry cryptographically verified claims and detailed permission scopes.  Centralized gateway enforcement consolidates security functions, including TLS termination, token validation, threat detection, and policy-based routing across distributed service meshes. Identity federation protocols enable trust establishment with external partner organizations while maintaining organizational autonomy over authentication policies. Context-aware authorization mechanisms adjust security requirements based on transaction risk profiles, geographic locations, and behavioral patterns. Implementation strategies address operational security concerns through automated cryptographic key rotation, least-privilege scope design, comprehensive security monitoring, and regulatory-compliant consent management frameworks. The framework supports strong customer authentication requirements, real-time payment systems, and artificial intelligence-enabled financial services while maintaining scalability for high-volume transaction processing environments.</jats:p>",0,https://doi.org/10.52710/cfs.865,Crossref,0,10.52710/cfs.865,Open_Banking_e_Conectividade,Open Banking,Mensageria_Validacao_Ordenacao,,6.0
"Programmable CBDCs, Digital Identity, ISO 20022, and AI: Reconfiguring Power in Payment Infrastructures",,0,https://doi.org/10.2139/ssrn.5517958,Crossref,1,10.2139/ssrn.5517958,Liquidacao_Interbancaria,ISO 20022,Coringa_Comparativo,,5.5
Named Entity Recognition for Payment Data Using NLP,"Named Entity Recognition (NER) has emerged as a critical component in automating financial transaction processing, particularly in extracting structured information from unstructured payment data. This paper presents a comprehensive analysis of state-of-the-art NER algorithms specifically designed for payment data extraction, including Conditional Random Fields (CRF), Bidirectional Long Short-Term Memory with CRF (BiLSTM-CRF), and transformer-based models such as BERT and FinBERT. We conduct extensive experiments on a dataset of 50,000 annotated payment transactions across multiple payment formats including SWIFT MT103, ISO 20022, and domestic payment systems. Our experimental results demonstrate that fine-tuned BERT models achieve an F1-score of 94.2% for entity extraction, outperforming traditional CRF-based approaches by 12.8 percentage points. Furthermore, we introduce PaymentBERT, a novel hybrid architecture combining domain-specific financial embeddings with contextual representations, achieving state-of-the-art performance with 95.7% F1-score while maintaining real-time processing capabilities. We provide detailed analysis of cross-format generalization, ablation studies, and deployment considerations. This research provides practical insights for financial institutions implementing automated sanctions screening, anti-money laundering (AML) compliance, and payment processing systems.",2026,http://arxiv.org/abs/2602.14009v1,ArXiv,0,,Liquidacao_Interbancaria,ISO 20022,Coringa_Comparativo,architecture,5.5
"&lt;b&gt;Programmable CBDCs, Digital Identity, ISO 20022, and AI: Reconfiguring Power in Payment Infrastructures&lt;/b&gt;","<jats:p>Purpose: This study interrogates the convergence of programmable central-bank digital currencies (CBDCs), national digital-identity regimes, ISO 20022 data standards, and AI-driven regtech to determine how their fusion redistributes gatekeeping authority within modern payment infrastructures. Design/methodology: Through comparative content analysis of policy papers, pilot reports, and regulatory texts from the European Union, United Kingdom, China, Nigeria, and cross-border projects such as BIS mBridge, the article couples empirical evidence with three theoretical lenses—weaponised interdependence, Foucault’s governmentality, and Mann’s infrastructural power. Findings: Results reveal that these intertwined technologies promise efficiency and inclusion yet simultaneously centralise control in the “rails” of the financial system, enabling transaction-level programmability and finely grained sanctions. Liberal jurisdictions seek to diffuse power through privacy thresholds and shared governance, whereas more authoritarian models exploit identity binding and real-time surveillance to extend state reach. Limited adoption in Nigeria illustrates that technical capability alone cannot confer infrastructural authority without public trust. Originality/value: Integrating economic sociology with Christian ethical analysis, the article devises a normative test drawn from scriptural principles—honest scales (Prov 11:1), Jubilee resets (Lev 25), and freedom of conscience (Rev 13:17)—to evaluate whether emerging architectures entrench coercive leverage or foster economic justice. Practical implications: Policymakers should codify privacy by design, guarantee offline or bearer-style options for small payments, legislate transparent limits on programmability, and promote multipolar governance to avert new monopolies over “who may buy and sell.” Social implications: Embedding mercy, accountability, and pluralism at the protocol layer is essential if digital money is to enhance, rather than erode, human dignity and freedom.</jats:p>",0,https://doi.org/10.65655/p0w2r666,Crossref,0,10.65655/p0w2r666,Liquidacao_Interbancaria,ISO 20022,Coringa_Comparativo,architecture,5.5
The role of the ISO 20022 messaging standard in improving payment transactions utilising participants’ data,"<jats:p xml:lang=""en"">This paper critically evaluates the prospective influence of ISO 20022, a widely recognised communications standard, on payment services. ISO 20022 provides a standardised and extendable framework aimed at improving efficiency, interoperability, and customer experience in the financial sector. The paper examines how ISO 20022 application can drive revolutionary improvements in payment processing, speeding up transaction processes, and increasing data richness. It also emphasises the importance of taking a balanced approach to ISO 20022 adoption, taking into account both the benefits and obstacles. While ISO 20022 offers enormous opportunity for modernising payment services, organisations must overcome a number of challenges, including technological improvements, data migration and regulatory compliance, to fully realise its promise. By accepting ISO 20022 and addressing its related obstacles, stakeholders can realise the revolutionary benefits of this standard, paving the way for a more efficient and interoperable payment environment.</jats:p>",0,https://doi.org/10.69554/ygkc5344,Crossref,0,10.69554/ygkc5344,Liquidacao_Interbancaria,ISO 20022,Coringa_Comparativo,"interoperability, framework",4.5
Technological Challenges of Integrating the ISO 20022 Standard into Payment Systems Using Machine Learning,"<jats:p>In the scope of the publication the migration of the worldwide financial industry to the ISO 20022 standard has been analyzed by considering the technical restrictions of ML algorithms applied to process a set of transactional data, the architectural restrictions of common payment systems that do not allow for the integration of smart components, and the use of smart data mapping algorithms to harmonize heterogeneous formats and fields in a single message model. Another aspect is the issue of data quality, which is necessary for reliable training of neural networks in the application areas of money laundering or fraud prevention. The objective is simplified to the construction of a theoretical model, which allows identifying opportunities to optimize the integration processes in the introduction of ISO 20022 and the subsequent use of the machine learning tooling in the transaction circuit. The method includes systems analysis and synthesis of the research results, which enables the comparison of architectural variants and the identification of conditions for adequately trading off interoperability and computational costs. The empirical-analytical part is based on publications of the last few years indexed in Scopus and Web of Science. In addition, this also ensures the topicality of the scientific basis used and the representativeness of the identified trends. The conclusion provides recommendations that reduce the risks of transition to the standard and the potential negative impact on data quality and process control. Our findings are of practical relevance to architects designing payment solutions, Data Science experts, and financial analysts.</jats:p>",2026,https://doi.org/10.70315/uloap.ulirs.2026.0301011,Crossref,0,10.70315/uloap.ulirs.2026.0301011,Liquidacao_Interbancaria,ISO 20022,Coringa_Comparativo,interoperability,4.5
