Título,Resumo,Ano,Link,Fonte,Categoria_Ancora,Ancoras_Mencionadas,Categoria_Tecnica,Termos_Tecnicos,Score_Elite
Exploring coexistence in the securities industry: Why the ISO 20022 central dictionary is the key to interoperability and realising data opportunities,"<jats:p xml:lang=""en"">This paper looks at how the securities industry can better manage coexistence between different message formats along with realising the many opportunities presented by available data. This is with a view to arriving at greater efficiency, profitability and interoperability within securities and across financial services. It begins with an overview of the quantities and types of data produced by the industry, discussing the costs and risks this poses if it is not sufficiently well managed. It then moves into a discussion of the need for a common language for all parts of financial services, including securities, to agree on in order to communicate more effectively. The paper focuses on using the global ISO 20022 standard for this purpose. It covers the question of migrating to it as a message format, for which there is little appetite within the securities industry in the short to medium term. ISO 20022’s central repository and data dictionary provide a solution, creating the common language that can help to ensure interoperability between entities. It includes discussion of the many benefits of using ISO 20022 in this way, such as reduced costs, risks and timeframes. It highlights how ISO 20022 as a data model can be applied to developing standardised application programming interfaces and building connections with emerging technologies and industries such as distributed ledger technology and crypto assets. The paper also looks at the risks and limitations posed by a prolonged period of coexistence. The use of a common data dictionary can enable firms to interoperate without having to align data exchanges at the syntax level; however, there are still associated costs, risks and inefficiencies. The conclusion is that securities market participants should collaborate to adopt a common data dictionary that can be integrated into their systems, their software and their processes.</jats:p>",0,https://doi.org/10.69554/knvy4333,Crossref,Liquidacao_Interbancaria,ISO 20022,Coringa_Comparativo,interoperability,7.5
"TruChain: A Multi-Layer Architecture for Trusted, Verifiable, and Immutable Open Banking Data","Open banking framework enables third party providers to access financial data across banking institutions, leading to unprecedented innovations in the financial sector. However, some open banking standards remain susceptible to severe technological risks, including unverified data sources, inconsistent data integrity, and lack of immutability. In this paper, we propose a layered architecture that provides assurance in data trustworthiness with three distinct levels of trust, covering source validation, data-level authentication, and tamper-proof storage. The first layer guarantees the source legitimacy using decentralized identity and verifiable presentation, while the second layer verifies data authenticity and consistency using cryptographic signing. Lastly, the third layer guarantees data immutability through the Tangle, a directed acyclic graph distributed ledger. We implemented a proof-of-concept implementation of our solution to evaluate its performance, where the results demonstrate that the system scales linearly with a stable throughput, exhibits a 100% validation rate, and utilizes under 35% of CPU and 350 MiB memory. Compared to a real-world open banking implementation, our solution offers significantly reduced latency and stronger data integrity assurance. Overall, our solution offers a practical and efficient system for secure data sharing in financial ecosystems while maintaining regulatory compliance.",2025,http://arxiv.org/abs/2507.08286v1,ArXiv,Open_Banking_e_Conectividade,Open Banking,Coringa_Comparativo,"framework, architecture",6.0
Named Entity Recognition for Payment Data Using NLP,"Named Entity Recognition (NER) has emerged as a critical component in automating financial transaction processing, particularly in extracting structured information from unstructured payment data. This paper presents a comprehensive analysis of state-of-the-art NER algorithms specifically designed for payment data extraction, including Conditional Random Fields (CRF), Bidirectional Long Short-Term Memory with CRF (BiLSTM-CRF), and transformer-based models such as BERT and FinBERT. We conduct extensive experiments on a dataset of 50,000 annotated payment transactions across multiple payment formats including SWIFT MT103, ISO 20022, and domestic payment systems. Our experimental results demonstrate that fine-tuned BERT models achieve an F1-score of 94.2% for entity extraction, outperforming traditional CRF-based approaches by 12.8 percentage points. Furthermore, we introduce PaymentBERT, a novel hybrid architecture combining domain-specific financial embeddings with contextual representations, achieving state-of-the-art performance with 95.7% F1-score while maintaining real-time processing capabilities. We provide detailed analysis of cross-format generalization, ablation studies, and deployment considerations. This research provides practical insights for financial institutions implementing automated sanctions screening, anti-money laundering (AML) compliance, and payment processing systems.",2026,http://arxiv.org/abs/2602.14009v1,ArXiv,Liquidacao_Interbancaria,ISO 20022,Coringa_Comparativo,architecture,5.5
ISO 20022 AND DIGITAL BANKING: ENHANCINGTRUSTANDCUSTOMER ENGAGEMENT THROUGH STANDARDIZEDFINANCIAL MESSAGING,"<jats:p>This paper delves into the key benefits, implementation challenges, regulatory implications, and future outlook of ISO 20022, emphasizing its role in fostering trust and engagement inthe digital banking landscape. The global financial industry is undergoing a significant
transformation with the adoption of ISO 20022, a universal financial messaging standarddesigned to enhance interoperability, efficiency, and transparency in digital banking. Asfinancial transactions become increasingly digital, ISO 20022 plays a crucial roleinstrengthening trust between banks and customers by improving the accuracy, speed, andsecurity of payment processes. This paper explores how ISO 20022 enhances trust andcustomer engagement in digital banking through standardized financial messaging. ISO20022 provides a structured and data-rich format that enables seamless communicationbetween financial institutions, reducing errors and fraud risks. It supports real-time payment
processing, detailed transaction tracking, and better regulatory compliance, making bankingservices more reliable and customer-friendly. Additionally, financial institutions canleverage ISO 20022 data structures to enhance customer experience by offering personalizedfinancial insights and fraud detection measures. With an increasing number of central banksand financial institutions migrating to ISO 20022 by 2025, this standard is set torevolutionize the banking sector</jats:p>",2025,https://doi.org/10.47059/ajms/v4i2/25,Crossref,Liquidacao_Interbancaria,ISO 20022,Coringa_Comparativo,interoperability,5.5
"Programmable CBDCs, Digital Identity, ISO 20022, and AI: Reconfiguring Power in Payment Infrastructures",,0,https://doi.org/10.2139/ssrn.5517958,Crossref,Liquidacao_Interbancaria,ISO 20022,Coringa_Comparativo,,5.5
"&lt;b&gt;Programmable CBDCs, Digital Identity, ISO 20022, and AI: Reconfiguring Power in Payment Infrastructures&lt;/b&gt;","<jats:p>Purpose: This study interrogates the convergence of programmable central-bank digital currencies (CBDCs), national digital-identity regimes, ISO 20022 data standards, and AI-driven regtech to determine how their fusion redistributes gatekeeping authority within modern payment infrastructures. Design/methodology: Through comparative content analysis of policy papers, pilot reports, and regulatory texts from the European Union, United Kingdom, China, Nigeria, and cross-border projects such as BIS mBridge, the article couples empirical evidence with three theoretical lenses—weaponised interdependence, Foucault’s governmentality, and Mann’s infrastructural power. Findings: Results reveal that these intertwined technologies promise efficiency and inclusion yet simultaneously centralise control in the “rails” of the financial system, enabling transaction-level programmability and finely grained sanctions. Liberal jurisdictions seek to diffuse power through privacy thresholds and shared governance, whereas more authoritarian models exploit identity binding and real-time surveillance to extend state reach. Limited adoption in Nigeria illustrates that technical capability alone cannot confer infrastructural authority without public trust. Originality/value: Integrating economic sociology with Christian ethical analysis, the article devises a normative test drawn from scriptural principles—honest scales (Prov 11:1), Jubilee resets (Lev 25), and freedom of conscience (Rev 13:17)—to evaluate whether emerging architectures entrench coercive leverage or foster economic justice. Practical implications: Policymakers should codify privacy by design, guarantee offline or bearer-style options for small payments, legislate transparent limits on programmability, and promote multipolar governance to avert new monopolies over “who may buy and sell.” Social implications: Embedding mercy, accountability, and pluralism at the protocol layer is essential if digital money is to enhance, rather than erode, human dignity and freedom.</jats:p>",0,https://doi.org/10.65655/p0w2r666,Crossref,Liquidacao_Interbancaria,ISO 20022,Coringa_Comparativo,architecture,5.5
CBDC Cross-Border Settlement Prototype: Programmable Compliance for Cross-Border CBDC Settlement Using ISO 20022 and FATF Travel Rule Automation,,0,https://doi.org/10.2139/ssrn.5394110,Crossref,Liquidacao_Interbancaria,ISO 20022,Mensageria_Validacao_Ordenacao,ISO 20022,5.5
Technological Challenges of Integrating the ISO 20022 Standard into Payment Systems Using Machine Learning,"<jats:p>In the scope of the publication the migration of the worldwide financial industry to the ISO 20022 standard has been analyzed by considering the technical restrictions of ML algorithms applied to process a set of transactional data, the architectural restrictions of common payment systems that do not allow for the integration of smart components, and the use of smart data mapping algorithms to harmonize heterogeneous formats and fields in a single message model. Another aspect is the issue of data quality, which is necessary for reliable training of neural networks in the application areas of money laundering or fraud prevention. The objective is simplified to the construction of a theoretical model, which allows identifying opportunities to optimize the integration processes in the introduction of ISO 20022 and the subsequent use of the machine learning tooling in the transaction circuit. The method includes systems analysis and synthesis of the research results, which enables the comparison of architectural variants and the identification of conditions for adequately trading off interoperability and computational costs. The empirical-analytical part is based on publications of the last few years indexed in Scopus and Web of Science. In addition, this also ensures the topicality of the scientific basis used and the representativeness of the identified trends. The conclusion provides recommendations that reduce the risks of transition to the standard and the potential negative impact on data quality and process control. Our findings are of practical relevance to architects designing payment solutions, Data Science experts, and financial analysts.</jats:p>",2026,https://doi.org/10.70315/uloap.ulirs.2026.0301011,Crossref,Liquidacao_Interbancaria,ISO 20022,Coringa_Comparativo,interoperability,4.5
The role of the ISO 20022 messaging standard in improving payment transactions utilising participants’ data,"<jats:p xml:lang=""en"">This paper critically evaluates the prospective influence of ISO 20022, a widely recognised communications standard, on payment services. ISO 20022 provides a standardised and extendable framework aimed at improving efficiency, interoperability, and customer experience in the financial sector. The paper examines how ISO 20022 application can drive revolutionary improvements in payment processing, speeding up transaction processes, and increasing data richness. It also emphasises the importance of taking a balanced approach to ISO 20022 adoption, taking into account both the benefits and obstacles. While ISO 20022 offers enormous opportunity for modernising payment services, organisations must overcome a number of challenges, including technological improvements, data migration and regulatory compliance, to fully realise its promise. By accepting ISO 20022 and addressing its related obstacles, stakeholders can realise the revolutionary benefits of this standard, paving the way for a more efficient and interoperable payment environment.</jats:p>",0,https://doi.org/10.69554/ygkc5344,Crossref,Liquidacao_Interbancaria,ISO 20022,Coringa_Comparativo,"interoperability, framework",4.5
Navigating ISO 20022 maintenance in a connected world: A vision for harmonisation,"<jats:p xml:lang=""en"">The implementation of ISO 20022 in payment infrastructures has been hailed as a paradigm shift towards seamless transactions, heralding flexibility for financial market infrastructures (MIs) and enabling the creation of bespoke ISO 20022 variants. The initial allure of this flexibility, however, led to an unintended consequence — a proliferation of variants with different timelines, versions and market practices. This fragmented landscape has introduced challenges for organisations seeking to achieve high levels of automated ‘straight-through processing’. Different variants affect end-users’ ability to automate reconciliation processes and complicates endeavours to establish and sustain a cohesive ISO 20022 future. As we navigate the intricacies of a globally interlinked financial ecosystem, the role of ISO 20022 maintenance has emerged as a linchpin in the seamless exchange of standardised financial messages. This paper emphasises the importance of streamlining the ISO 20022 environment and messaging life cycle to facilitate efficient maintenance processes, foster broader harmonisation and usher in an era of truly frictionless payments. In proposing this shift, the paper advocates for a transformative approach. It posits two opportunities: the establishment of a unified, industry-led governance structure and the definition of a common message template. These initiatives are envisioned as essential to harmonising the fragmented ISO 20022 landscape, offering a path for end-to-end interoperability across the diverse payment chain. While acknowledging the ambitious nature of these proposals and timelines, the potential benefits are significant. The proposed initiatives could lead to more efficient maintenance processes, enhanced interoperability and a shared framework for ISO 20022 payments. The industry faces a crucial choice — whether to embrace this ambitious evolution or settle for the status quo. The imperative is clear: achieving a more interoperable and harmonised future for ISO 20022 payments is not just an opportunity but a necessity for the industry’s continued growth, resilience and operational efficiency.</jats:p>",0,https://doi.org/10.69554/nnja1480,Crossref,Liquidacao_Interbancaria,ISO 20022,Coringa_Comparativo,"interoperability, framework",4.5
