Título,Resumo,Ano,Autores,Link,PDF,Cat_Ancora,Cat_Tecnica
Scaling Distributed Ledgers and Privacy-Preserving Applications,"This thesis proposes techniques aiming to make blockchain technologies and smart contract platforms practical by improving their scalability, latency, and privacy. This thesis starts by presenting the design and implementation of Chainspace, a distributed ledger that supports user defined smart contracts and execute user-supplied transactions on their objects. The correct execution of smart contract transactions is publicly verifiable. Chainspace is scalable by sharding state; it is secure against subsets of nodes trying to compromise its integrity or availability properties through Byzantine Fault Tolerance (BFT). This thesis also introduces a family of replay attacks against sharded distributed ledgers targeting cross-shard consensus protocols; they allow an attacker, with network access only, to double-spend resources with minimal efforts. We then build Byzcuit, a new cross-shard consensus protocol that is immune to those attacks and that is tailored to run at the heart of Chainspace. Next, we propose FastPay, a high-integrity settlement system for pre-funded payments that can be used as a financial side-infrastructure for Chainspace to support low-latency retail payments. This settlement system is based on Byzantine Consistent Broadcast as its core primitive, foregoing the expenses of full atomic commit channels (consensus). The resulting system has extremely low-latency for both confirmation and payment finality. Finally, this thesis proposes Coconut, a selective disclosure credential scheme supporting distributed threshold issuance, public and private attributes, re-randomization, and multiple unlinkable selective attribute revelations. It ensures authenticity and availability even when a subset of credential issuing authorities are malicious or offline, and natively integrates with Chainspace to enable a number of scalable privacy-preserving applications.",2021,Alberto Sonnino,http://arxiv.org/abs/2102.12273v1,https://arxiv.org/pdf/2102.12273v1,Instant_Payments,Architecture
A DLT-based Smart Contract Architecture for Atomic and Scalable Trading,"Distributed Ledger Technology (DLT) has an enormous potential but also downsides. One downside of many DLT systems, such as blockchain, is their limited transaction throughput that hinders their adoption in many use cases (e.g., real-time payments). State channels have emerged as a potential solution to enhance throughput by allowing transactions to process off-chain. While current proposals can increase scalability, they require high collateral and lack support for dynamic systems that require asynchronous state transitions. Additionally, the latency of channel initialisations can cause issues especially if fast interactions are required. In this paper, we propose an atomic, scalable and privacy-preserving protocol that enables secure and dynamic updates. We develop a smart contract-based Credit-Note System (CNS) that allows participants to lock funds before a state channel initialisation, which enhances flexibility and efficiency. We formalise our model using the Universal Composability (UC) framework and demonstrate that it achieves the stated design goals of privacy, scalability, and atomicity. Moreover, we implement a dispute process in the state channel to counter availability attacks. Finally, we analyse the protocol in the context of an asynchronous smart grid-based marketplace.",2021,"J. Kalbantner, K. Markantonakis, D. Hurley-Smith, C. Shepherd, B. Semal",http://arxiv.org/abs/2105.02937v1,https://arxiv.org/pdf/2105.02937v1,Instant_Payments,Architecture
A Feature Engineering Approach for Business Impact-Oriented Failure Detection in Distributed Instant Payment Systems,"Instant payment infrastructures have stringent performance requirements, processing millions of transactions daily with zero-downtime expectations. Traditional monitoring approaches fail to bridge the gap between technical infrastructure metrics and business process visibility. We introduce a novel feature engineering approach based on processing times computed between consecutive ISO 20022 message exchanges, creating a compact representation of system state. By applying anomaly detection to these features, we enable early failure detection and localization, allowing incident classification. Experimental evaluation on the TARGET Instant Payment Settlement (TIPS) system, using both real-world incidents and controlled simulations, demonstrates the approach's effectiveness in detecting diverse anomaly patterns and provides inherently interpretable explanations that enable operators to understand the business impact. By mapping features to distinct processing phases, the resulting framework differentiates between internal and external payment system issues, significantly reduces investigation time, and bridges observability gaps in distributed systems where transaction state is fragmented across multiple entities.",2025,Lorenzo Porcelli,http://arxiv.org/abs/2510.21710v1,https://arxiv.org/pdf/2510.21710v1,Instant_Payments,Performance
Discovering the Latency-Elastic Trust Window: A Patentable UX Governor for Real-Time Payment Confirmation in WebRTC Streaming,"Live streaming platforms increasingly embed payments into the interaction loop. In these systems, payment confirmation latency is not merely a back-end performance metric but a front-end UX variable that shapes user behavior, trust, and retention. This paper introduces a novel invention candidate - the Latency-Elastic Trust Window (LETW) - a control layer that computes a per-session latency budget, adapts UX feedback, and enforces jitter-aware thresholds to protect conversational rhythm. We model confirmation latency as a behavioral driver in WebRTC streaming, quantify its effect on conversion and engagement, and propose a telemetry-driven framework to manage latency thresholds. We combine a hazard model with a behavioral elasticity curve and present simulated, calibration-based results that mirror real-world response patterns. Our findings indicate that latency beyond two seconds materially reduces tip completion and repeat engagement, and that latency variance is as important as mean latency. We further formalize the LETW as a patentable UX governor that maps network conditions to user-facing modes, and we provide operational thresholds for engineering teams to enforce trust-preserving payment feedback.",2026,Anton Malinovskiy,http://arxiv.org/abs/2604.16344v1,https://arxiv.org/pdf/2604.16344v1,Instant_Payments,Performance
A Scalable Architecture for Electronic Payments,"We present a scalable architecture for electronic retail payments via central bank digital currency and offer a solution to the perceived conflict between robust regulatory oversight and consumer affordances such as privacy and control. Our architecture combines existing work in payment systems and digital currency with a new approach to digital asset design for managing unforgeable, stateful, and oblivious assets without relying on either a central authority or a monolithic consensus system. Regulated financial institutions have a role in every transaction, and the consumer affordances are achieved through the use of non-custodial wallets that unlink the sender from the recipient in the transaction channel. This approach is fully compatible with the existing two-tiered banking system and can complement and extend the roles of existing money services businesses and asset custodians.",2021,"Geoff Goodell, D. R. Toliver, Hazem Danny Nakib",http://arxiv.org/abs/2110.13840v3,https://arxiv.org/pdf/2110.13840v3,Instant_Payments,Performance
FastPay: High-Performance Byzantine Fault Tolerant Settlement,"FastPay allows a set of distributed authorities, some of which are Byzantine, to maintain a high-integrity and availability settlement system for pre-funded payments. It can be used to settle payments in a native unit of value (crypto-currency), or as a financial side-infrastructure to support retail payments in fiat currencies. FastPay is based on Byzantine Consistent Broadcast as its core primitive, foregoing the expenses of full atomic commit channels (consensus). The resulting system has low-latency for both confirmation and payment finality. Remarkably, each authority can be sharded across many machines to allow unbounded horizontal scalability. Our experiments demonstrate intra-continental confirmation latency of less than 100ms, making FastPay applicable to point of sale payments. In laboratory environments, we achieve over 80,000 transactions per second with 20 authorities---surpassing the requirements of current retail card payment networks, while significantly increasing their robustness.",2020,"Mathieu Baudet, George Danezis, Alberto Sonnino",http://arxiv.org/abs/2003.11506v3,https://arxiv.org/pdf/2003.11506v3,Instant_Payments,Performance
Snappy: Fast On-chain Payments with Practical Collaterals,"Permissionless blockchains offer many advantages but also have significant limitations including high latency. This prevents their use in important scenarios such as retail payments, where merchants should approve payments fast. Prior works have attempted to mitigate this problem by moving transactions off the chain. However, such Layer-2 solutions have their own problems: payment channels require a separate deposit towards each merchant and thus significant locked-in funds from customers; payment hubs require very large operator deposits that depend on the number of customers; and side-chains require trusted validators.   In this paper, we propose Snappy, a novel solution that enables recipients, like merchants, to safely accept fast payments. In Snappy, all payments are on the chain, while small customer collaterals and moderate merchant collaterals act as payment guarantees. Besides receiving payments, merchants also act as statekeepers who collectively track and approve incoming payments using majority voting. In case of a double-spending attack, the victim merchant can recover lost funds either from the collateral of the malicious customer or a colluding statekeeper (merchant). Snappy overcomes the main problems of previous solutions: a single customer collateral can be used to shop with many merchants; merchant collaterals are independent of the number of customers; and validators do not have to be trusted. Our Ethereum prototype shows that safe, fast (<2 seconds) and cheap payments are possible on existing blockchains.",2020,"Vasilios Mavroudis, Karl Wüst, Aritra Dhar, Kari Kostiainen, Srdjan Capkun",http://arxiv.org/abs/2001.01278v1,https://arxiv.org/pdf/2001.01278v1,Instant_Payments,Performance
A Limitlessly Scalable Transaction System,"We present Accept, a simple, asynchronous transaction system that achieves perfect horizontal scaling.   Usual blockchain-based transaction systems come with a fundamental throughput limitation as they require that all (potentially unrelated) transactions must be totally ordered. Such solutions thus require serious compromises or are outright unsuitable for large-scale applications, such as global retail payments.   Accept provides efficient horizontal scaling without any limitation. To that end, Accept satisfies a relaxed form of consensus and does not establish an ordering of unrelated transactions. Furthermore, Accept achieves instant finality and does not depend on a source of randomness.",2021,"Max Mathys, Roland Schmid, Jakub Sliwinski, Roger Wattenhofer",http://arxiv.org/abs/2108.05236v1,https://arxiv.org/pdf/2108.05236v1,Instant_Payments,Performance
DPCN: Towards Deadline-aware Payment Channel Networks,"Payment channel is a class of techniques designed to solve the scalability problem of blockchain. By establishing channels off the blockchain to form payment channel networks (PCNs), users can make instant payments without interacting with the blockchain, avoiding the problems of long transaction consensus delays and high transaction fees. Recently, the optimization of PCNs has mainly focused on improving the network throughput via multi-path routing. However, the transaction's atomicity comes at a non-trivial cost for transaction completion latency that affects user experience in deadline-sensitive applications of PCNs. In this paper, we propose a new and systematic framework DPCN to consider the deadlines of transactions for payment channel networks while improving the success ratio of transactions. DPCN is enabled via a synergy of three components: (1) deadline-based dynamic transaction split mechanism that splits the transaction according to current network status and the transaction's deadline; (2) deadline-aware transaction scheduling that prioritizes near-deadline transactions; (3) deadline-aware transaction congestion avoidance algorithm, which uses a path window to balance transactions with different deadlines. Our extensive experiments show that compared with existing methods, DPCN can well meet the needs of transactions with different deadlines and ensure a higher success ratio for transactions in the payment channel networks.",2022,"Wenhui Wang, Ke Mu, Xuetao Wei",http://arxiv.org/abs/2209.10299v2,https://arxiv.org/pdf/2209.10299v2,Instant_Payments,Performance
Self-Balancing Semi-Hierarchical PCNs for CBDCs,"We introduce a family of PCNs (Payment Channel Networks) characterized by a semi-hierarchical topology and a custom set of channel rebalancing strategies. This family exhibits two interesting benefits, if used as a platform for large-scale, instant, retail payment systems, such as CBDCs: Technically, the solution offers state-of-the-art guarantees of fault-tolerance and integrity, while providing a latency and throughput comparable to centralized systems; from a business perspective, the solution perfectly suits the 3-tier architecture of the current banking ecosystem (central banks / commercial banks / retail users), assigning a pivotal and peculiar role to the members of each tier. Furthermore, the cryptographic privacy of payments for retail users -- typical of PCNs such as the public Lightning Network -- is largely (possibly fully) retained. We study the system by simulating a scaled-down version of a hypothetical European CBDC, exploring the trade-offs among liquidity locked by market operators, payment success rate, throughput, latency, and load on the underpinning blockchain.",2024,"Marco Benedetti, Francesco De Sclavis, Marco Favorito, Giuseppe Galano, Sara Giammusso, Antonio Muci, Matteo Nardelli",http://arxiv.org/abs/2401.11868v1,https://arxiv.org/pdf/2401.11868v1,Instant_Payments,Performance
